route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
RED SATURDAY,R1SA,R1SATPO__R1SA,Champaign Meijer,0,R1SA,R1SATPO
RED SATURDAY,R1SA,20RED001__R1SA,Champaign Meijer,0,R1SA,20C GW->MP
RED SATURDAY,R1SA,20RED002__R1SA,Philo & Silver,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED003__R1SA,Champaign Meijer,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED004__R1SA,Philo & Silver,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED005__R1SA,Champaign Meijer,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED006__R1SA,Philo & Silver,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED007__R1SA,Champaign Meijer,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED008__R1SA,Philo & Silver,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED009__R1SA,Champaign Meijer,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED010__R1SA,Philo & Silver,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED011__R1SA,Champaign Meijer,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED012__R1SA,Philo & Silver,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED013__R1SA,Champaign Meijer,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED014__R1SA,Philo & Silver,1,R1SA,20U->PS
RED SATURDAY,R1SA,20RED015__R1SA,Champaign Meijer,0,R1SA,20C->MP
RED SATURDAY,R1SA,20RED016__R1SA,Illini Union,1,R1SA,20U ->IU
GREEN,GN1 MF,GN1PO__GN1_MF,Illini Union,1,GN1 MF,GN1PO
GREEN,GN1 MF,1GN500__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5WIUE->
GREEN,GN1 MF,[@14.0.51573013@][3][1284041816250]/0__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]57
GREEN,GN1 MF,[@15.0.68508734@][3][1375908093213]/0__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]58
GREEN,GN1 MF,[@14.0.51573013@][3][1284041844000]/1__GN1_MF,Main & Brady,0,GN1 MF,GREEN 37
GREEN,GN1 MF,[@14.0.51573013@][4][1283961701437]/0__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,GREEN 905
GREEN,GN1 MF,[@14.0.51573013@][4][1283961712890]/1__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,GREEN 907
GREEN,GN1 MF,[@15.0.66064718@][3][1356532933096]/0__GN1_MF,Main & Brady,0,GN1 MF,5E
GREEN,GN1 MF,1GN507__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-AM
GREEN,GN1 MF,1GN508__GN1_MF,Main & Brady,0,GN1 MF,5E
GREEN,GN1 MF,1GN509__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-AM
GREEN,GN1 MF,1GN510__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]48
GREEN,GN1 MF,1GN511__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-PM
GREEN,GN1 MF,1GN512__GN1_MF,Main & Brady,0,GN1 MF,[@15.0.68508734@]48
GREEN,GN1 MF,1GN513__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5W-PM
GREEN,GN1 MF,1GN514__GN1_MF,Main & Brady,0,GN1 MF,5ETOCF
GREEN,GN1 MF,1GN515__GN1_MF,Florida & Philo - Savannah Green,0,GN1 MF,[@15.0.68508734@]66
GREEN,GN1 MF,1GN516__GN1_MF,Illini Union,1,GN1 MF,5W->IUE
GREEN EXPRESS,GN1 MF,1GN517__GN1_MF,Curtis & Wynstone,1,GN1 MF,5WXIUE->DNST
YELLOW,Y7 UIMTH,[@14.0.56288722@][1][1310479148168]/0__Y7_UIMTH,Transit Plaza,0,Y7 UIMTH,[@14.0.56288722@]36
YELLOW,Y7 UIMTH,[@14.0.56288722@][1][1310143765731]/0__Y7_UIMTH,Transit Plaza,0,Y7 UIMTH,[@14.0.56288722@]64
YELLOW,Y7 UIMTH,[@14.0.56288722@][1][1303760566725]/0__Y7_UIMTH,Champaign Walmart,0,Y7 UIMTH,[@14.0.51708617@]32
YELLOW,Y7 UIMTH,[@14.0.56288722@][2][1303763634065]/26__Y7_UIMTH,Gerty & Griffith,1,Y7 UIMTH,YELLOW 13
YELLOWHOPPER,Y7 UIMTH,[@14.0.56289208@][2][1303755590388]/40__Y7_UIMTH,Gerty & Griffith,1,Y7 UIMTH,YELLOWHOPPER 25
YELLOWHOPPER,Y7 UIMTH,[@15.0.63189099@][1][1334167611425]/4__Y7_UIMTH,Illinois Terminal,0,Y7 UIMTH,[@15.0.63189099@]29
YELLOW,Y7 UIMTH,[@14.0.56288722@][2][1303763269813]/6__Y7_UIMTH,First & Curtis - Savoy Walmart,1,Y7 UIMTH,YELLOW 11
